paper_id,title,url,authors,year,open_access
MBIGZDVK,Prevalence and factors associated with fertility ,https://doi.org/10.1080/09540121.2024.2309457,Zhang H et al.,2024,False
LAMZQ37E,Reproductive Health Care Priorities and Barriers t,https://doi.org/10.1016/j.whi.2018.03.002,Wingo Erin et al.,2018,False
IJPD7B8G,Desire for Parenthood and Associated Trends in Cze,https://doi.org/10.1016/j.esxm.2020.08.004,Turcan P et al.,2020,False
IR9C7F49,Parenting intentions among transgender individuals,https://doi.org/10.1089/lgbt.2016.0153,Tornello Samantha L and Bos Henny,2017,False
4MFTN6ZR,Reproductive rights where conditions apply an ana,https://doi.org/10.1080/14647273.2022.2164746,Tippett A,2023,False
K8BVNHVI,Gender identity and future thinking about parentho,https://doi.org/10.3389/fpsyg.2020.00865,Tasker Fiona and Gato Jorge,2020,False
IWXN8I3I,Reproductive health in transgender and gender dive,https://doi.org/10.1080/26895269.2022.2035883,Rodriguez-Wallberg K et al.,2022,False
FUTUQ7S4,Parenting Desire Among Sexual Minority Women in Ch,https://doi.org/10.1007/s10508-023-02682-8,Pu Yaxin and Xu Wenjian,2024,False
TMXI96T2,Sexual identities and reproductive orientations C,https://doi.org/10.1177/1363460720926967,Pralat R,2021,False
D6ZHP5TJ,Attitudes toward fertility preservation among tran,https://doi.org/10.1016/j.jadohealth.2020.02.027,Persky Rebecca W et al.,2020,False
ZWUCS922,Gay men seeking surrogacy to achieve parenthoo,https://doi.org/10.1016/j.rbmo.2013.03.016,Norton Wendy et al.,2013,False
4IIJJB3F,The Cisnormative Blindspot Explained Healthcare E,https://doi.org/10.1016/j.srhc.2022.100733,Norris M and Borneskog C,2022,False
GHBB2B23,A Pilot Study to Assess Attitudes Toward Future Fe,https://doi.org/10.1089/trgh.2019.0075,Morrison A et al.,2020,False
4P4GSKSP,Trans reproductive imaginaries Access and barrier,https://doi.org/10.1080/27703371.2024.2304747,Ker Alex and Shaw Rhonda M,2024,False
DB63MNJH,Disparities between online assisted reproduction ,https://doi.org/10.1093/humrep/dew182,Jin Helen and Dasgupta Shoumita,2016,False
HGSWINZZ,Building Families Through Healthcare Experiences ,https://doi.org/10.1177/23743735221089459,Gregory Kelly B et al.,2022,False
QSGCDC73,Sexual Orientation-Specific Policies Are Associate,https://doi.org/10.1093/abm/kaae037,Everett B G et al.,2024,False
HZCNXY6T,Queering reproductive justice Framing reproductio,https://doi.org/10.1111/soc4.13139,Chen Jung,2023,False
2ASF3KZE,Attitudes toward fertility and reproductive health,https://doi.org/10.1016/j.jadohealth.2017.11.306,Chen D et al.,2018,False
VT9RBP5U,Stigma in doctors' and nurses' perception regardin,https://doi.org/10.37689/acta-ape/2024AO00005733,Cardoso J C et al.,2024,False
W9KFA5LK,Understanding the experiences and needs of LGBTIQA,https://doi.org/10.1136/bmjsrh-2022-201692,Bowler S et al.,2023,False
GS674QRS,Mapping the scientific literature on reproductive ,https://doi.org/10.1080/26410397.2021.1886395,Agénor et al.,2021,False
8VY8WNRF,Bloom_Trussell_1984_What are the determinants of delayed childbearing and permanent childlessness,https://doi.org/10.2307/2060917,,,False
QEYEU86J,Mothers and others The invisibility of LGBTQ peo,https://doi.org/10.1080/02646838.2019.1649919,Darwin and Greenfield,2019,False
P32NV3Q5,LGBTQ+ individuals and pregnancy outcomes A comme,https://doi.org/10.1111/1471-0528.17131,Croll et al.,2022,False
AZWB78HA,Eligibility for Maternity Leave and First Birth Ti,https://doi.org/10.1007/s11113-008-9098-1,Zabel,2009,False
NN3NWWT4,Whose job instability affects the likelihood of be,https://doi.org/10.4054/DemRes.2012.26.2,Vignoli et al.,2012,False
2NHMGD6M,Does Having Children Bring Life Satisfaction in Eu,https://doi.org/10.1007/s10902-019-00135-5,Ugur,2020,False
VWPL79WB,Who Delays Childbearing The Associations Between ,https://doi.org/10.1007/s10680-016-9393-1,Tavares,2016,False
79VGGIEY,Who Remains Childless Unrealised Fertility Plans ,https://doi.org/10.13060/00380288.2015.51.6.228,Szalma and Takács,2015,False
KBV797F8,Are Children a Joy or a Burden Individual- and Ma,https://doi.org/10.1007/s10680-019-09535-y,Stier Haya and Kaplan,2020,False
49P53PI9,A Research Note on the Convergence of Childlessnes,https://doi.org/10.1007/s10680-019-09550-z,Rybińska Anna,2020,False
M9CWXDCB,Factors that Shape Women's Reproductive Decision-M,https://doi.org/10.22381/JRGS11220211,Rich et al.,2021,False
BTIZI2W6,Educational Pairings and Fertility Across Europe ,https://doi.org/10.12765/CPoS-2021-19,Nitsche et al.,2021,False
8CTK3SYG,Childlessness in Twentieth-Century Spain A Cohort,https://doi.org/10.1007/s10680-018-9471-7,Reher and Requena,2019,False
4MIYM7SQ,"Education, Other Socioeconomic Characteristics Acr",https://doi.org/10.1007/s10680-017-9430-8,Nisén et al.,2018,False
HN7A2TE4,Educational Differences in Cohort Fertility Across,https://doi.org/10.1007/s10680-020-09562-0,Nisén Jessica et al.,2021,False
772SUNMJ,Stuck under the Rainbow Gay Parents' Experiences ,https://doi.org/10.13136/isr.v11i2.451,Monaco and Nothdurfter,2021,False
W23L9426,Working from Home During Covid-19 Pandemic and Cha,https://doi.org/10.1007/s10680-023-09678-z,Kurowska et al.,2023,False
R4GEUL5L,"Childlessness, personal social networks and wellbe",https://doi.org/10.1017/S0144686X22000320,Henrique Testa Vicente and Guadalupe,2024,False
Y6PWNH77,Narratives of the future and fertility decision-ma,https://austriaca.at/0xc1aa5576_0x003d3ca9.pdf,Guetto et al.,2022,False
HY57NMMY,The Impact of Family Policies on Fertility in Indu,https://www.jstor.org/stable/pdfplus/10.2307/40230979.pdf?acceptTC=true,Gauthier,2007,False
444MBGC8,Voluntarily childless men socio-cultural reasons ,https://doi.org/10.18778/1733-8069.18.1.06,Garncarek,2022,False
IQKEQZJV,Choosing to Remain Childless A Comparative Study ,https://doi.org/10.1007/s10680-016-9404-2,Fiori et al.,2017,False
5RJTRGSC,Educational attainment and maternity in Spain not,https://doi.org/10.1007/s11150-014-9249-6,Davia and Legazpe,2015,False
8SUQ58L4,Economic uncertainty and first-birth intentions in,https://www.demographic-research.org/volumes/vol39/28/39-28.pdf,Fahlén and Oláh,2018,True
NIZQTESR,Do women delay family formation in expensive housi,https://doi.org/10.4054/DemRes.2012.27.1,Clark,2012,False
ZHMXDRGS,Persistent joblessness and fertility intentions,https://doi.org/10.4054/DemRes.2019.40.8,Busetta et al.,2019,False
8PUXFU2Z,Why Childless Men and Women Give Up on Having Chil,https://doi.org/10.1007/s10680-017-9429-1,Buhr and Huinink,2017,False
HUR24KZI,Artificial Intelligence for Literature Reviews O,https://arxiv.org/pdf/2402.08565,Bolanos et al.,2024,False
N55IUQEK,An increasing disinterest in fatherhood among chil,https://doi.org/10.1111/jomf.12874,Bozick,2023,False
9FBX4KFT,Fertility in Advanced Societies A Review of Resea,https://doi.org/10.1007/s10680-012-9277-y,Balbo et al.,2013,False
EHMMMUR4,Are rural young people stuck in waithoo,https://doi.org/10.1079/9781789245011.0008,Oosterom,2021,False
RY8GAFSP,Peri-Rotem_2016_Religion and Fertility in Western Europe,https://doi.org/10.1007/s10680-015-9371-z,,,False
LRWGVLT3,Jones et al_2023_Geographic opportunities for assisted reproduction,https://doi.org/10.1080/14647273.2023.2190040,,,False
BGVPQZTW,Dhalwani et al_2013_Occurrence of fertility problems presenting to primary care,https://doi.org/10.1093/humrep/des451,,,False
QP776IQ7,Balbo et al_2013_Fertility in Advanced Societies,https://doi.org/10.1007/s10680-012-9277-y,,,False
3IKEV7SV,Bongaarts_Hodgson_2022_Socio-Economic Determinants of Fertility,https://link.springer.com/content/pdf/10.1007%2F978-3-031-11840-1_4.pdf,,,False
WUKDIYWA,Increases in Female Labour Force Participation in ,https://doi.org/10.1007/s10680-004-5302-0,Vlasblom and Schippers,2004,False
LM6N9ZQ3,Religion and Fertility in Western Europe Trends A,https://doi.org/10.1007/s10680-015-9371-z,Peri-rotem,2016,False
MZABIC7Z,Self-Perceived Infertility is Not Always Associate,https://doi.org/10.1007/s10680-023-09692-1,Greil et al.,2024,False
Y4PF7SK4,A turning point in Italian fertility,https://doi.org/10.1007/s12546-016-9169-9,Caltabiano,2016,False
RBHZG4HW,Adolescent Fertility Attitudes and Childbearing in,https://doi.org/10.1007/s11113-018-9499-8,Guzzo et al.,2019,False
TP4KGDJB,Childlessness Among Men in Australia,https://doi.org/10.1007/s11113-009-9142-9,Parr,2010,False
JGBE5F6I,Diverse Effects of Women's Employment on Fertility,https://doi.org/10.1007/s10680-013-9287-4,Matysiak and Vignoli,2013,False
I5TZGPHQ,Economic resources and the first child in Italy A,https://doi.org/10.4054/DemRes.2011.25.9,Santarelli,2011,False
NV8WLSHF,Fertility and Women's Employment A Meta-analysis,https://doi.org/10.1007/s10680-007-9146-2,Matysiak and Vignoli,2008,False
94YIZF74,Impact of Regional Factors on Cohort Fertility Ne,https://doi.org/10.12765/CPoS-2017-07en,Bujard and Scheller,2017,False
T53CVR9X,"Lifetime Childlessness, Depressive Mood and Qualit",https://doi.org/10.1007/s11205-015-1177-1,Gibney et al.,2017,False
6MTB236E,"On Anne Lise Ellingsaeter, An-Magritt Jensen and M",https://doi.org/10.14267/cjssp.2015.01.11,Kutrovátz,2015,False
C7W6I2EH,PATHWAYS INTO CHILDLESSNESS EVIDENCE OF GENDERED ,https://doi.org/10.1017/S0021932007002660,KEIZER et al.,2008,False
QG28X6Z5,"So Many Challenges, So Many Regrets Motherhood De",https://doi.org/10.1007/s12147-024-09326-8,Yılmaz et al.,2024,False
RYYSWXFV,"Socioeconomic status and fertility before, during,",https://doi.org/10.4054/DemRes.2014.31.7,Dribe et al.,2014,False
263CW8WJ,The effect of women's participation in the labour ,https://doi.org/10.1007/s12546-014-9126-4,Busetta and Giambalvo,2014,False
7ARY3PIV,The influence of income and work hours on first bi,https://doi.org/10.1007/s12546-018-9200-4,Kingsley,2018,False
UK2B7DDH,Theoretical Explanations of Increasing Childlessne,https://doi.org/10.12765/CPoS-2014-01en,Eckhard,2014,False
H9EHA94G,Trends in Childlessness Among Highly Educated Men ,https://doi.org/10.1007/s10680-018-9511-3,Chudnovskaya,2019,False
ZPLDUMG7,"Adolescent Childbearing Attitudes, Social Contexts",https://www.proquest.com/openview/e7b66ad9191a0bef0b5d430fbf5ab91e/1?pq-origsite=gscholar&cbl=18750&diss=y,Aguilera,2021,True
7759ATPP,Austria Persistent low fertility since the mid-19,https://doi.org/10.4054/DemRes.2008.19.12,Prskawetz et al.,2008,False
MQM4X4R5,CHANGES IN THE PROXIMATE DETERMINANTS OF FERTILITY,https://doi.org/10.1017/S0021932009003459,SPOORENBERG,2009,False
HL9YCUGP,Couples' decisions to have a first child Comparin,https://www.demographic-research.org/volumes/vol21/26/21-26.pdf,Rijken and Knijn,2009,False
5QKS3PE8,"Couples' fertility intentions Measurement, correl",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=bgsu1435909847&disposition=inline,Stykes,2015,True
H68W88PI,Emotional Variation and Fertility Behavior,https://doi.org/10.1007/s13524-017-0555-5,Axinn et al.,2017,False
768WPFZL,"Essays on fertility preference, social change, an",https://www.proquest.com/docview/878892471/fulltextPDF/DF53E7AB2484DC8PQ/1?accountid=14511&sourcetype=Dissertations%20&%20Theses,Lin,2011,True
3WLXLWMP,Falling fertility rates new challenges to the Eur,https://doi.org/10.1093/ser/mwp007,Vos,2009,False
B2LFZTBY,Family Policy and Fertility Intentions in 21 Euro,https://doi.org/10.1111/jomf.12097,Billingsley and Ferrarini,2014,False
YQ4GXBI9,Fertility attitudes of highly educated youth A fa,https://doi.org/10.1111/jomf.12790,Karabchuk et al.,2022,False
9DCBELJ2,Fertility History and Physical and Mental Health C,https://doi.org/10.1007/s10680-018-9489-x,Keenan and Grundy,2019,False
F789DTFR,"Fertility, Education, and Couple Dynamics Three E",https://www.comparativepopulationstudies.de/index.php/CPoS/article/download/470/344/1760,Nitsche,2014,True
A9KMUZPQ,FROM MOTIVES THROUGH DESIRES TO INTENTIONS INVEST,https://doi.org/10.1017/S0021932017000190,Mynarska and Rytel,2018,False
F47J2F2N,Has the Fertility Decline Come to an End in the Di,https://muse.jhu.edu/pub/94/article/241422,Caltabiano,2008,True
L7WAL62X,High Fertility or Childlessness Micro-Level Deter,https://shs.cairn.info/article/E_POPU_604_0463?lang=en,Mencarini and Tanturri,2006,True
GAV2K4LS,It Takes Two to Tango Couples' Happiness and Chil,https://doi.org/10.1007/s10680-016-9385-1,Aassve et al.,2016,False
N2F3BG7G,"Late motherhood, late fatherhood, and permanent ch",https://doi.org/10.4054/DemRes.2021.45.10,Compans,2021,False
IM57CGGT,Lowest-low fertility Signs of a recovery in Italy,https://doi.org/10.4054/DemRes.2009.21.23,Caltabiano et al.,2009,False
FN7FBKWZ,Male fertility in Greece Trends and differentials,https://doi.org/10.4054/DemRes.2014.31.6,Tragaki and Bagavos,2014,False
TIBFFHHA,Poland Fertility decline as a response to profoun,https://doi.org/10.4054/DemRes.2008.19.22,Kotowska et al.,2008,False
TFCRDSS2,Postponement and Recuperation in Cohort Fertility,https://www.oeaw.ac.at/fileadmin/subsites/Institute/VID/PDF/Publications/EDRP/edrp_2011_02.pdf,Sobotka et al.,2011,True
CCGKN3T5,"Race and Childlessness in America, 1988-2002",https://doi.org/10.1111/j.1741-3737.2009.00630.x,Lundquist et al.,2009,False
FKBMJUMD,"RESEARCHERS, RELIGION AND CHILDLESSNESS",https://doi.org/10.1017/S0021932015000188,Buber-Ennser and Skirbekk,2016,False
8D5MZMPG,The influence of early life course religious expos,https://doi.org/10.1111/1468-5906.00120,Pearce,2002,False
LXKDYM8F,Three essays examining social determinants of fert,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/89686/eckerman_1.pdf?sequence=1&isAllowed=y,Yarger,2011,True
IZXC6UXA,Understanding 'higher' Māori Fertility in a 'low' ,https://population.org.nz/wp-content/uploads/2019/02/NZPR-Vol-44_Rarere.pdf,Rarere,2018,True
ARBAH6FE,Unemployment and the timing of parenthood Implica,https://doi.org/10.4054/DemRes.2015.32.7,Inanc,2015,False
SNRYCXQ3,Sociocultural Determinants of Infertility Stress i,https://doi.org/10.4103/jhrs.JHRS_134_17,Patel et al.,2018,False
5GWGDYSV,Sociocultural Determinants of Infertility Stress i,https://doi.org/10.4103/jhrs.JHRS_134_17,Patel et al.,2018,False
NUWALRNF,Spontaneous Pregnancy Loss in Denmark Following Ec,https://doi.org/10.1093/aje/kww003,Bruckner et al.,2016,False
BXCS48J8,Turner_1993_Low National Fertility a Concern to Japanese Couples; Half have Two Children,https://doi.org/10.2307/2136146,,,False
6S6G5J26,Childlessness in the UK,http://link.springer.com/content/pdf/10.1007%2F978-3-319-44667-7_3.pdf,Berrington,2017,True
QBZAELEG,Fauser et al_2024_Declining global fertility rates and the implications for family planning an,https://doi.org/10.1093/humupd/dmad028,,,False
M662IGJT,Infertility around the globe new thinking on gen,https://doi.org/10.1093/humupd/dmv016,Inhorn and Patrizio,2015,False
YEBEJA9L,Impossible motherhood From the desire for motherh,https://doi.org/10.14198/fem.2023.41.14,Bogino Larrambebere,2023,False
Z4XRKGIC,Motherhood in Spain From the “Baby Boom” to “Stru,https://doi.org/10.1080/01459740.2021.1961246,Alvarez and Marre,2022,False
Z8WPCGEA,Fertility in Advanced Societies A Review of Resea,https://doi.org/10.1007/s10680-012-9277-y,Balbo et al.,2013,False
5BYA4QA5,"Perpetual postponers Women's, men’s and couple’s ",https://eprints.soton.ac.uk/34148/1/BerringtonPopTrends2004.pdf,Berrington,2004,True
9XY7BK4D,Reimagining infertility a critical examination o,https://doi.org/10.1093/heapol/czx148,Fledderjohann and Barnes,2018,False
GJD5D6NH,BTrying to Have your Own First; It's What you Do^: The Relationship Between Adoption and Medicalized Infertility,https://doi.org/10.1007/s11133-019-09421-3,Bell,2019,False
MH3CDCHV,Childbearing Trends and Prospects in Low-Fertility Countries,https://link.springer.com/book/10.1007/1-4020-2458-4,Frejka and Sardon,2004,False
TWPKMC25,It'S Most Of My Life - Going To The Pub Or The Group': The Social Networks Of Involuntarily Childless Older Men, https://doi.org/10.1017/S0144686X19000837,Hadley,2019,False
